text,date
"our great senator from south carolina, @senatortimscott just released a fantastic new book, “opportunity knocks: how hard work, community, and business can improve lives and end poverty.” get your copy today! https://t.co/fmsymijfgm",2020-04-18 20:35:16-04:00
biden has a problem if he runs on “things were better under obama.” https://t.co/le1aohnbkx,2020-04-18 15:07:47-04:00
"with all the grounded flights and ghosted airports, great time for potus to rebuild crumbling airports like la guardia and put folks to work with infrastructure bill (just don't let pelosi pork it up!)",2020-04-18 15:05:32-04:00
trump’s bold gamble on hydroxychloroquine (hc) appears to be paying off. medical professionals in ny tell judicial watch that doctors battling the pandemic are increasingly reporting benefits from the drug. they’re prescribing it for themselves &amp; patients https://t.co/0mbrkairez,2020-04-18 15:04:22-04:00
breaking: new daily cases of covid-19 in both u.s. and n.y. have peaked and trend-line now rolling over,2020-04-18 14:58:10-04:00
let's see if authorities enforce the social-distancing orders for mosques during ramadan (april 23-may 23) like they did churches during easter,2020-04-18 14:56:38-04:00
"breaking: adjusted for population, u.s. covid-19 deaths (fatalities per million) are lower than every western european country -- including britain, spain, italy &amp; france -- except for germany. and usa's testing rate per million is higher than britain, spain, france &amp; switzerland",2020-04-18 14:56:26-04:00
---&gt; https://t.co/j6snowt7fs,2020-04-18 14:54:22-04:00
"the most often used phrase in the lamestream media, by far, is “sources say”, or “officials who spoke on the condition of anonymity”, or anything similar which allows fake news to make up a phony quote from a person who doesn’t even exist. the american people should demand names!",2020-04-18 14:22:18-04:00
"....them happy, or even a little bit satisfied. they were rude and nasty. this is their political playbook, and they will use it right up to the election on november 3rd. they will not change because they feel that this is the only way they can win. america will not be fooled!!!",2020-04-18 13:20:49-04:00
"....example! v.p. mike pence held a conference call yesterday with all democrat senators. he gave them everything that they would have wanted to hear in terms of gaining ground on the coronavirus, but nothing that anyone could have said, including “it’s over”, could have made....",2020-04-18 13:20:28-04:00
"no matter what you do for the do nothing democrats, no matter how great a job you are doing, they will only respond to their fake partners in the lamestream media in the negative, even in a time of crisis. i thought it would be different, but it’s not. in fact, it’s even worse...",2020-04-18 13:20:23-04:00
i will be having a white house press conference today at 5:00 p.m. thank you!,2020-04-18 12:44:19-04:00
.@senatedems blocked more funding for this program just last week and now it’s almost out of money. small businesses need this $$ now.    it’s time for democrats to put their constituents’ needs above their political agenda and get this funding passed! https://t.co/sflbqmxfkg,2020-04-18 12:25:25-04:00
the @senschumer &amp; @speakerpelosi paycheck blockade must end now. the #paycheckprotectionprogram has ensured millions of americans keep getting paid during this crisis. we need further funding to continue this vital work. https://t.co/ykxb0qvbas,2020-04-18 12:25:00-04:00
in just 12 days #ppp has helped over 1 million #smallbusiness save 15 million american jobs. but now it’s being held hostage by democratic leaders.   with everything people are going through this is disgusting. https://t.co/ee175knxk3,2020-04-18 12:24:41-04:00
contrary to the air cover being provided to democratic congressional leaders by many in the media #ppp is not tied up because of dueling proposals  they have taken millions of #smallbusinesses &amp; their tens of millions of employee hostage until their ransom demands are met. https://t.co/5g7ujyskdh,2020-04-18 12:23:52-04:00
"the initial #paycheckprotectionprogram funds have run out. 5.2 million more americans filed for unemployment last week. we could pass a 1 page bill today to extend funding,keep more workers employed.democrats don’t like that idea. my piece with @gopleader: https://t.co/m1lqh7soa9",2020-04-18 12:23:31-04:00
this situation could have been completely avoided. small businesses in america are in desperate need. we should not be playing politics and denying small businesses the help they need. congress must fund #ppp. https://t.co/qi15vibsig,2020-04-18 12:23:18-04:00
"republicans tried to pass more money for americans’ paychecks last week. democrats blocked it. speaker pelosi said she saw “no data as to why we need it."" she said ""we have time to negotiate.”   democrats did nothing and now the program has shut down. https://t.co/mswjaeybo4",2020-04-18 12:23:13-04:00
breaking – funds have officially run out for the #paycheckprotectionprogram. this program has helped so many in oklahoma and across america during this #covid19 crisis. this didn’t have to happen. senate democrats blocked $251 b to replenish the program just last week.,2020-04-18 12:23:02-04:00
congress must immediately increase funding for the paycheck protection program.  a simple 1 page bill will get the job done—no liberal pet projects.  hardworking americans deserve their money now &amp; the trump administration is doing its part to get it to them.  why isn’t congress?,2020-04-18 12:22:53-04:00
"the livelihood of many americans are on the line during the #coronavirus pandemic.  last week, @senatedems blocked additional funds to the #paycheckprotectionprogram. this program is now out of money and the future for many #smallbiz is uncertain.  this is not how you govern.",2020-04-18 12:22:42-04:00
"this never needed to happen.  @senategop was ready to approve more relief funds last week — dems stepped in to block.  *once again* dems are holding important relief hostage to push other items. small businesses are the backbone of our country, &amp; right now they need our help. https://t.co/9op5pqj96w",2020-04-18 12:22:32-04:00
"i spent 40 years building a small business on main street, and it's sad that senate democrats blocked additional aid for small businesses. more family businesses will close their doors every day we don't put these political squabbles aside. https://t.co/8jhld38xw1",2020-04-18 12:22:12-04:00
speaker nancy pelosi’s refusal to provide additional funding for this bipartisan program is indefensible. i’ll continue fighting on behalf of indiana to ensure this program has the funding it needs to protect hoosier paychecks. https://t.co/kntub2d6ga,2020-04-18 12:22:01-04:00
the #paycheckprotectionprogram is critical for mt small businesses and workers. it’s officially out of money. we must boost funding now to save small biz and help our workers. https://t.co/xykheojtoe,2020-04-18 12:21:52-04:00
"#paycheckprotectionprogram has allowed workers to collect paychecks &amp; #smallbiz owners pay bills: 22k+ loans &amp; $3.7b+ in iowa alone.  now, the funds have run out. this could've been avoided. dems are ignoring bipartisan calls for more funding for ppp. we need action, not politics https://t.co/gnh3bhulzg",2020-04-18 12:21:44-04:00
"small businesses in oklahoma received more than $4 billion dollars from the #paycheckprotectionprogram to help them &amp; their employees stay afloat through covid-19. @senategop republicans were ready to expand funding for #ppp last week, but democrats blocked funding. https://t.co/fdjxbsfbzr",2020-04-18 12:21:35-04:00
